State,Peak Demand (MW),Peak Met (MW),Demand not met (MW)
Andaman Nicobar,58.0,54.0,4.0
Andhra Pradesh,8713.0,8710.0,3.0
Arunachal Pradesh,136.0,133.0,3.0
Assam,1834.0,1795.0,39.0
Bihar,4999.0,4910.0,89.0
Chandigarh,338.0,338.0,0.0
Chattisgarh,4140.0,4136.0,4.0
Dadar Nagar Haveli,807.0,804.0,3.0
Daman & Diu,347.0,347.0,0.0
Delhi,5937.0,5937.0,0.0
Dvc,2717.0,2717.0,0.0
Goa,538.0,535.0,3.0
Gujarat,16717.0,16705.0,12.0
Haryana,9415.0,9415.0,0.0
Himachal Pradesh,1479.0,1479.0,0.0
Jammu & Kashmir,2845.0,2276.0,569.0
Jharkhand,1248.0,1248.0,0.0
Karnataka,9486.0,9464.0,23.0
Kerala,3550.0,3342.0,208.0
Lakshadweep,8.0,8.0,0.0
Madhya Pradesh,8775.0,8775.0,0.0
Maharashtra,20764.0,20757.0,7.0
Manipur,177.0,175.0,2.0
Meghalaya,325.0,325.0,0.0
Mizoram,99.0,97.0,2.0
Nagaland,134.0,133.0,2.0
Odisha,5357.0,5357.0,0.0
Puducherry,391.0,382.0,8.0
Punjab,12012.0,12012.0,0.0
Rajasthan,11354.0,11354.0,0.0
Sikkim,89.0,89.0,0.0
Tamil Nadu,14734.0,14701.0,34.0
Telangana,10219.0,10198.0,21.0
Tripura,292.0,287.0,5.0
Uttar Pradesh,19086.0,19086.0,0.0
Uttarakhand,2096.0,2096.0,0.0
West Bengal,8510.0,8415.0,95.0
