State,Solar Potential (MW),Wind Potential (MW)
Andaman Nicobar,20242.972972972973,18797.54054054054
Andhra Pradesh,20242.972972972973,18797.54054054054
Arunachal Pradesh,20242.972972972973,18797.54054054054
Assam,20242.972972972973,18797.54054054054
Bihar,20242.972972972973,18797.54054054054
Chandigarh,20242.972972972973,18797.54054054054
Chattisgarh,20242.972972972973,18797.54054054054
Dadar Nagar Haveli,20242.972972972973,18797.54054054054
Daman & Diu,20242.972972972973,18797.54054054054
Delhi,20242.972972972973,18797.54054054054
Dvc,20242.972972972973,18797.54054054054
Goa,20242.972972972973,18797.54054054054
Gujarat,20242.972972972973,18797.54054054054
Haryana,20242.972972972973,18797.54054054054
Himachal Pradesh,20242.972972972973,18797.54054054054
Jammu & Kashmir,20242.972972972973,18797.54054054054
Jharkhand,20242.972972972973,18797.54054054054
Karnataka,20242.972972972973,18797.54054054054
Kerala,20242.972972972973,18797.54054054054
Lakshadweep,20242.972972972973,18797.54054054054
Madhya Pradesh,20242.972972972973,18797.54054054054
Maharashtra,20242.972972972973,18797.54054054054
Manipur,20242.972972972973,18797.54054054054
Meghalaya,20242.972972972973,18797.54054054054
Mizoram,20242.972972972973,18797.54054054054
Nagaland,20242.972972972973,18797.54054054054
Odisha,20242.972972972973,18797.54054054054
Puducherry,20242.972972972973,18797.54054054054
Punjab,20242.972972972973,18797.54054054054
Rajasthan,20242.972972972973,18797.54054054054
Sikkim,20242.972972972973,18797.54054054054
Tamil Nadu,20242.972972972973,18797.54054054054
Telangana,20242.972972972973,18797.54054054054
Tripura,20242.972972972973,18797.54054054054
Uttar Pradesh,20242.972972972973,18797.54054054054
Uttarakhand,20242.972972972973,18797.54054054054
West Bengal,20242.972972972973,18797.54054054054
